name,id,parent_id,parent_name
Leukemia acute promyelocytic,Sm2_gIoznxD,vi1bWhPI8cD,Acute promyelocytic leukaemia
Leukemia acute with KMT2A rearrangement,ZsOUhN7IHo5,R2SZY__Zhg_,Leukaemia
Leukemia acute with lysine methyltransferase 2A gene (KMT2A) translocation,bJTwZEwD9WB,R2SZY__Zhg_,Leukaemia
Leukemia CD19+,peydYR5m7-5,R2SZY__Zhg_,Leukaemia
Leukemia central nervous system,c3E_2-5AkT4,S0zHsbfVyA_,Central nervous system leukaemia
Leukemia chronic granulocytic,dpe_0zSAJQF,d_pZNohoJJ7,Chronic myeloid leukaemia
Leukemia chronic lymphocytic,U1VJABK21J6,XWbmcjfjxFA,Chronic lymphocytic leukaemia
Leukemia chronic lymphocytic CD20-positive,7v5T2P0H0_H,XWbmcjfjxFA,Chronic lymphocytic leukaemia
Leukemia chronic lymphocytic with 17p deletion,Sp3JzBS7T38,XWbmcjfjxFA,Chronic lymphocytic leukaemia
Leukemia chronic lymphocytic with TP53 mutation,T0KnK_D_4zG,XWbmcjfjxFA,Chronic lymphocytic leukaemia
Leukemia chronic myelogenous,smSFSKNQKa9,XW40_gGl4eD,Myeloid leukaemia
Leukemia chronic myelogenous accelerated phase,O_krtg_8Wo-,XW40_gGl4eD,Myeloid leukaemia
Leukemia chronic myelogenous advanced phase,Dpa7iEnQfQB,XW40_gGl4eD,Myeloid leukaemia
Leukemia chronic myelogenous Philadelphia chromosome positive,8tmO5O8GTIC,XW40_gGl4eD,Myeloid leukaemia
Leukemia chronic myeloid,wgKu6iWyOw7,d_pZNohoJJ7,Chronic myeloid leukaemia
